MMSI_CODE,DATETIME,MMAF_CODE,MMAF_NM,MMSI_NM,WIND_DIRECT,WIND_SPEED,AIR_TEMPERATURE,HUMIDITY,AIR_PRESSURE
994401584,20220113000000,101,부산청,부산항신항중앙C호등부표,,,,,
994401584,20220113001000,101,부산청,부산항신항중앙C호등부표,326,4.1,0.6,47,1019.2
994401584,20220113002000,101,부산청,부산항신항중앙C호등부표,315,4.6,1.1,50,1018.7
994401584,20220113003000,101,부산청,부산항신항중앙C호등부표,,,,,
994401584,20220113004000,101,부산청,부산항신항중앙C호등부표,332,4.8,1,51,1018.5
994401584,20220113005000,101,부산청,부산항신항중앙C호등부표,337,4.5,0.9,50,1018.6
994401584,20220113010000,101,부산청,부산항신항중앙C호등부표,,,,,
994401584,20220113011000,101,부산청,부산항신항중앙C호등부표,327,4.6,0.8,48,1018.7
994401584,20220113012000,101,부산청,부산항신항중앙C호등부표,331,4.6,0.6,47,1018.6
994401584,20220113013000,101,부산청,부산항신항중앙C호등부표,,,,,
994401584,20220113014000,101,부산청,부산항신항중앙C호등부표,325,4.8,0.7,48,1018.6
994401584,20220113015000,101,부산청,부산항신항중앙C호등부표,330,4.4,0.8,49,1018.8
994401584,20220113020000,101,부산청,부산항신항중앙C호등부표,,,,,
994401587,20220113000000,101,부산청,나무섬등대,322,8.79,-0.7,33,1008.9
994401587,20220113001000,101,부산청,나무섬등대,323,11,-0.4,41,1008.7
994401587,20220113002000,101,부산청,나무섬등대,325,11.5,-0.3,39,1008.2
994401587,20220113003000,101,부산청,나무섬등대,329,13,-0.3,39,1007.8
994401587,20220113004000,101,부산청,나무섬등대,322,13.1,-0.9,34,1007.9
994401587,20220113005000,101,부산청,나무섬등대,326,13.2,-0.3,36,1007.7
994401587,20220113010000,101,부산청,나무섬등대,330,14.5,-0.4,34,1007.8
994401587,20220113011000,101,부산청,나무섬등대,325,14.3,-0.8,33,1008.1
994401587,20220113012000,101,부산청,나무섬등대,328,13.6,-0.8,34,1008.1
994401587,20220113013000,101,부산청,나무섬등대,325,12.5,-0.2,36,1008.3
994401587,20220113014000,101,부산청,나무섬등대,325,15.3,-0.7,31,1007.4
994401587,20220113015000,101,부산청,나무섬등대,316,14.6,0,38,1007.3
994401587,20220113020000,101,부산청,나무섬등대,318,14.9,-0.8,34,1007.6
994401578,20220113000000,101,부산청,오륙도등대,306,12.9,-1.1,39,1010.5
994401578,20220113001000,101,부산청,오륙도등대,299,16.1,-0.6,40,1009.9
994401578,20220113002000,101,부산청,오륙도등대,307,15,-1.2,37,1009.9
994401578,20220113003000,101,부산청,오륙도등대,296,12.8,-1.3,39,1010.4
994401578,20220113004000,101,부산청,오륙도등대,303,13.5,-0.9,39,1010.3
994401578,20220113005000,101,부산청,오륙도등대,301,11.9,-1.4,38,1010.6
994401578,20220113010000,101,부산청,오륙도등대,304,12.7,-1.1,36,1010.5
994401578,20220113011000,101,부산청,오륙도등대,310,13.5,-1.5,34,1010.5
994401578,20220113012000,101,부산청,오륙도등대,298,12.9,-1.6,33,1010.9
994401578,20220113013000,101,부산청,오륙도등대,308,12.9,-1.2,33,1010.8
994401578,20220113014000,101,부산청,오륙도등대,318,9.51,-1.6,32,1011
994401578,20220113015000,101,부산청,오륙도등대,304,9.1,-1.4,35,1011.5
994401578,20220113020000,101,부산청,오륙도등대,317,8.38,-1.7,33,1011.4
994401588,20220113000000,101,부산청,가덕도등대,295,12.3,-1.2,38,1004.7
994401588,20220113001000,101,부산청,가덕도등대,297,12.6,-0.5,39,1005
994401588,20220113002000,101,부산청,가덕도등대,296,12.7,-1,41,1004.9
994401588,20220113003000,101,부산청,가덕도등대,287,12.7,-1.2,37,1004.5
994401588,20220113004000,101,부산청,가덕도등대,290,13.3,-0.6,37,1004.6
994401588,20220113005000,101,부산청,가덕도등대,291,13.2,-0.7,37,1004.3
994401588,20220113010000,101,부산청,가덕도등대,297,14,-0.9,42,1004.5
994401588,20220113011000,101,부산청,가덕도등대,292,12.5,-0.6,40,1004.6
994401588,20220113012000,101,부산청,가덕도등대,297,12.9,-0.6,43,1004.6
994401588,20220113013000,101,부산청,가덕도등대,297,12,-1.2,41,1004.6
994401588,20220113014000,101,부산청,가덕도등대,298,13,-0.5,41,1004.7
994401588,20220113015000,101,부산청,가덕도등대,292,13.2,-1.3,37,1004.5
994401588,20220113020000,101,부산청,가덕도등대,301,12.2,-1.3,37,1004.6
994401583,20220113000000,101,부산청,신항유도등부표(랜비),171,8.89,0.8,44,1017.2
994401583,20220113001000,101,부산청,신항유도등부표(랜비),178,8.07,0.7,44,1017.5
994401583,20220113002000,101,부산청,신항유도등부표(랜비),150,5.71,0.3,43,1017.6
994401583,20220113003000,101,부산청,신항유도등부표(랜비),160,8.69,0.9,46,1017.3
994401583,20220113004000,101,부산청,신항유도등부표(랜비),192,10.2,0.4,46,1017.1
994401583,20220113005000,101,부산청,신항유도등부표(랜비),188,8.79,0.3,45,1017
994401583,20220113010000,101,부산청,신항유도등부표(랜비),169,10.2,0.5,46,1017.1
994401583,20220113011000,101,부산청,신항유도등부표(랜비),170,9.71,0.6,42,1017.2
994401583,20220113012000,101,부산청,신항유도등부표(랜비),167,11.8,0.2,41,1017
994401583,20220113013000,101,부산청,신항유도등부표(랜비),143,5.6,0.8,47,1017.1
994401583,20220113014000,101,부산청,신항유도등부표(랜비),171,9,0.1,43,1017.4
994401583,20220113015000,101,부산청,신항유도등부표(랜비),181,9.1,0.8,46,1017.4
994401583,20220113020000,101,부산청,신항유도등부표(랜비),161,8.48,0.3,41,1017.3
994401597,20220113000000,101,부산청,부산항유도등부표(랜비),,,,,
994401597,20220113001000,101,부산청,부산항유도등부표(랜비),,,,,
994401597,20220113002000,101,부산청,부산항유도등부표(랜비),,,,,
994401597,20220113003000,101,부산청,부산항유도등부표(랜비),,,,,
994401597,20220113004000,101,부산청,부산항유도등부표(랜비),,,,,
994401597,20220113005000,101,부산청,부산항유도등부표(랜비),,,,,
994401597,20220113010000,101,부산청,부산항유도등부표(랜비),,,,,
994401597,20220113011000,101,부산청,부산항유도등부표(랜비),,,,,
994401597,20220113012000,101,부산청,부산항유도등부표(랜비),,,,,
994401597,20220113013000,101,부산청,부산항유도등부표(랜비),,,,,
994401597,20220113014000,101,부산청,부산항유도등부표(랜비),,,,,
994401597,20220113015000,101,부산청,부산항유도등부표(랜비),,,,,
994401597,20220113020000,101,부산청,부산항유도등부표(랜비),,,,,
994401594,20220113000000,101,부산청,남형제도등표,238,0.62,0.9,47,1013.4
994401594,20220113001000,101,부산청,남형제도등표,276,0.72,1,43,1014.1
994401594,20220113002000,101,부산청,남형제도등표,,,,,
994401594,20220113003000,101,부산청,남형제도등표,230,0.3,1.3,48,1013.6
